grid,threads,ok_runs,failed_runs,time_mean_s,time_median_s,speedup_vs_t1,efficiency_pct
64,1,5,0,0.645076,0.645349,1.000000,100.0000
64,2,5,0,0.357242,0.357015,1.807624,90.3812
64,3,5,0,0.273337,0.272342,2.369627,78.9876
64,4,5,0,0.219336,0.219299,2.942781,73.5695
128,1,5,0,16.134841,16.142345,1.000000,100.0000
128,2,5,0,8.457673,8.432815,1.914230,95.7115
128,3,5,0,5.824477,5.820831,2.773203,92.4401
128,4,5,0,4.477148,4.478649,3.604289,90.1072
256,1,1,0,319.976824,319.976824,1.000000,100.0000
256,2,5,0,163.247219,162.075032,1.974251,98.7126
256,3,5,0,110.905472,110.765364,2.888781,96.2927
256,4,5,0,85.494076,84.016191,3.808514,95.2128
